# SCOP release 2020-04-30
# http://scop.mrc-lmb.cam.ac.uk
# based on PDB release 2020-04-21
# based on UniProt realese 2020-04-22
# based on SIFTS release 2020-04-19
# FA-DOMID FA-PDBID FA-PDBREG FA-UNIID FA-UNIREG SF-DOMID SF-PDBID SF-PDBREG SF-UNIID SF-UNIREG SCOPCLA
8045703 3H8D C:1143-1264 Q64331 1143-1264 8091604 3H8D C:1143-1264 Q64331 1143-1264 TP=1,CL=1000003,CF=2001470,SF=3002524,FA=4004627
8017856 4LDA A:2-121 Q9HW97 2-121 8057741 4LDA A:2-121 Q9HW97 2-121 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986
8072779 2MSK A:1-124 A0A0M3KKS6 1-124 8072780 2MSK A:1-124 A0A0M3KKS6 1-124 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072781 6ER7 A:2-118 O58193 2-118 8072782 6ER7 A:2-118 O58193 2-118 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072783 3NHZ B:5-120 P9WGM7 5-120 8072784 3NHZ B:5-120 P9WGM7 5-120 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072785 5UHT B:1-121 Q9WYT9 1-121 8072786 5UHT B:1-121 Q9WYT9 1-121 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072787 3CFY A:2-128 Q87PN2 2-128 8072788 3CFY A:2-128 Q87PN2 2-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072789 2ZWM A:1-120 P37478 2-121 8072790 2ZWM A:1-120 P37478 2-121 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072791 3A0R B:1-116 Q9X181 1-116 8072792 3A0R B:1-116 Q9X181 1-116 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072793 3CU5 B:4-130 A9KIW7 2-128 8072794 3CU5 B:4-130 A9KIW7 2-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072795 4HNR A:1-119 Q6BBK6 7-125 8072796 4HNR A:1-119 Q6BBK6 7-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072797 3HZH A:13-146 O51615 13-146 8072798 3HZH A:13-146 O51615 13-146 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072799 4JP1 A:6-128 A0A0H3AMJ9 6-128 8072800 4JP1 A:6-128 A0A0H3AMJ9 6-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072801 3TO5 A:5-128 Q6BBK8 5-128 8072802 3TO5 A:5-128 Q6BBK8 5-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072803 3EOD A:3-125 P0AEV1 3-125 8072804 3EOD A:3-125 P0AEV1 3-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072807 3KCN A:6-139 Q7UJS6 6-139 8072808 3KCN A:6-139 Q7UJS6 6-139 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072809 3JTE A:4-128 A3DCZ0 2-126 8072810 3JTE A:4-128 A3DCZ0 2-126 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072811 5XJP A:10-130 Q6TA00 10-130 8072812 5XJP A:10-130 Q6TA00 10-130 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072813 3CG4 A:4-129 Q2FQ04 4-129 8072814 3CG4 A:4-129 Q2FQ04 4-129 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072815 4D6Y A:4-124 Q2YPW6 4-124 8072816 4D6Y A:4-124 Q2YPW6 4-124 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072817 3CRN A:2-122 Q2FNF5 2-122 8072818 3CRN A:2-122 Q2FNF5 2-122 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072819 3HDG B:7-130 Q7MRH8 7-130 8072820 3HDG B:7-130 Q7MRH8 7-130 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072821 2QXY B:4-120 Q9WZU6 2-118 8072822 2QXY B:4-120 Q9WZU6 2-118 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072823 6EKG Y:3-123 Q6LYQ5 3-123 8072824 6EKG Y:3-123 Q6LYQ5 3-123 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072825 3GT7 A:11-148 Q2LQE8 11-148 8072826 3GT7 A:11-148 Q2LQE8 11-148 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072827 3CNB C:65-187 Q47UF8 65-187 8072828 3CNB C:65-187 Q47UF8 65-187 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072829 3C3M A:3-123 A3CS79 2-122 8072830 3C3M A:3-123 A3CS79 2-122 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072831 3LTE U:66-184 Q1N036 66-184 8072832 3LTE U:66-184 Q1N036 66-184 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072833 5HM6 A:6-124 Q2VSW6 6-124 8072834 5HM6 A:6-124 Q2VSW6 6-124 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072835 5E3J A:6-125 D0C9D6 6-125 8072836 5E3J A:6-125 D0C9D6 6-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072837 6BR7 A:5-125 A0A014C6J9 5-125 8072838 6BR7 A:5-125 A0A014C6J9 5-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072839 1ZIT A:1-121 O66551 1-121 8072840 1ZIT A:1-121 O66551 1-121 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072841 3CZ5 A:4-144 Q1YEP2 2-142 8072842 3CZ5 A:4-125 Q1YEP2 2-123 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072843 3EUL C:8-127 P9WGM5 8-127 8072844 3EUL C:8-127 P9WGM5 8-127 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072845 4LE2 D:1-129 O34723 1-129 8072846 4LE2 D:1-129 O34723 1-129 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072847 2ZAY A:8-130 Q1JZD9 154-276 8072848 2ZAY A:8-130 Q1JZD9 154-276 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072849 3N53 B:2-122 Q3A6W4 2-122 8072850 3N53 B:2-122 Q3A6W4 2-122 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072851 3KYI B:2-134 Q8KLS1 2-134 8072852 3KYI B:2-134 Q8KLS1 2-134 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072853 3HV2 B:11-135 Q4K707 11-135 8072854 3HV2 B:11-135 Q4K707 11-135 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072855 2NT3 A:2-123 O68522 2-123 8072856 2NT3 A:2-123 O68522 2-123 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072857 4QPJ C:1-118 Q2YQA4 1-118 8072858 4QPJ C:1-118 Q2YQA4 1-118 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072859 3CG0 B:7-130 Q311G8 7-130 8072860 3CG0 B:7-130 Q311G8 7-130 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072861 4UHJ A:2-123 P0AE88 2-123 8072862 4UHJ A:2-123 P0AE88 2-123 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072863 4E7O B:1-130 Q8DNC2 1-130 8072864 4E7O B:1-130 Q8DNC2 1-130 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072865 2QR3 A:2-125 Q64UD2 2-125 8072866 2QR3 A:2-125 Q64UD2 2-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072867 3T8Y B:3-140 Q9WYN9 3-140 8072868 3T8Y B:3-140 Q9WYN9 3-140 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072869 5UIC A:1-119 A0Q7W8 1-119 8072870 5UIC A:1-119 A0Q7W8 1-119 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072871 3GRC B:546-668 Q121U0 546-668 8072872 3GRC B:546-668 Q121U0 546-668 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072873 3H5I A:4-128 Q3ADQ4 4-128 8072874 3H5I A:4-128 Q3ADQ4 4-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072875 2QVG A:7-135 Q5ZSR0 8-136 8072876 2QVG A:7-135 Q5ZSR0 8-136 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072877 2QV0 A:58-179 P21649 58-179 8072878 2QV0 A:58-179 P21649 58-179 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072879 2N9U A:142-266 Q2N856 142-266 8072880 2N9U A:142-266 Q2N856 142-266 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072881 3C97 A:552-671 Q2U940 552-671 8072882 3C97 A:552-671 Q2U940 552-671 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072883 4EUK A:776-922 Q3S4A7 776-922 8072884 4EUK A:776-922 Q3S4A7 776-922 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072885 3GWG A:1-123 P71403 1-123 8072886 3GWG A:1-123 P71403 1-123 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072887 3I42 A:19-134 Q1H0I3 19-134 8072888 3I42 A:19-134 Q1H0I3 19-134 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072889 4ZYL B:6-149 Q6N5G1 6-149 8072890 4ZYL B:6-149 Q6N5G1 6-149 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072891 5TE9 A:8-146 B2JH95 8-146 8072892 5TE9 A:8-136 B2JH95 8-136 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072893 3NHM A:19-138 Q1CZZ7 19-138 8072894 3NHM A:19-138 Q1CZZ7 19-138 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072895 6M8O A:1-118 P60611 1-118 8072896 6M8O A:1-118 P60611 1-118 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072897 2QSJ B:2-130 Q5LQW4 2-130 8072898 2QSJ B:2-130 Q5LQW4 2-130 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072899 3F6C A:2-117 P0ACZ4 2-117 8072900 3F6C A:2-117 P0ACZ4 2-117 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072901 4XLT A:1-129 C6VVW9 1-129 8072902 4XLT A:1-129 C6VVW9 1-129 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072903 3EQZ A:3-125 Q483U6 3-125 8072904 3EQZ A:3-125 Q483U6 3-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072905 5DCL A:4-120 X5JZS1 4-120 8072906 5DCL A:4-120 X5JZS1 4-120 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8072907 2VUH B:5-139 P26408 5-139 8072908 2VUH B:5-139 P26408 5-139 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074334 3HEB A:8-147 Q2RWM6 8-147 8074335 3HEB A:8-147 Q2RWM6 8-147 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074336 3MM4 A:979-1118 O22267 979-1118 8074337 3MM4 A:979-1118 O22267 979-1118 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074338 3HDV D:69-185 Q88QX9 69-185 8074339 3HDV D:69-185 Q88QX9 69-185 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074340 3KHT A:14-145 Q2SI73 14-145 8074341 3KHT A:14-145 Q2SI73 14-145 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074342 3B2N A:4-122 A0A0H3JRA8 2-120 8074343 3B2N A:4-122 A0A0H3JRA8 2-120 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074344 2QZJ A:4-124 Q180B0 2-122 8074345 2QZJ A:4-124 Q180B0 2-122 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074346 5TQJ A:5-128 B2JEF9 5-128 8074347 5TQJ A:5-128 B2JEF9 5-128 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074348 3LUA A:2-125 A3DK02 2-125 8074349 3LUA A:2-125 A3DK02 2-125 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074352 3ILH A:5-136 Q11VD8 5-136 8074353 3ILH A:5-136 Q11VD8 5-136 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8074354 5KBX B:503-647 Q07084 503-647 8074355 5KBX B:503-647 Q07084 503-647 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8075474 2MSW A:5-125 Q2N9L8 1-121 8075475 2MSW A:5-125 Q2N9L8 1-121 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8075476 2J48 A:627-745 Q9KHI5 627-745 8075477 2J48 A:627-745 Q9KHI5 627-745 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8075478 2PLN A:1-114 O25684 1-114 8075479 2PLN A:1-114 O25684 1-114 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8075480 2HQO A:1-119 Q9ZM42 1-119 8075481 2HQO A:1-119 Q9ZM42 1-119 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8076228 5IC5 A:1-152 F5Y2U8 1-152 8076229 5IC5 A:1-132 F5Y2U8 1-132 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8076230 5JYU A:613-729 Q8DKG0 613-729 8076231 5JYU A:613-729 Q8DKG0 613-729 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8076697 3KTO A:12-133 Q15U25 12-133 8076698 3KTO A:12-133 Q15U25 12-133 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8077394 2RDM A:2-122 A6UIY7 2-122 8077395 2RDM A:2-122 A6UIY7 2-122 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8077428 2LPM A:4-123 Q930Y6 1-120 8077429 2LPM A:4-123 Q930Y6 1-120 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8081626 3M6M D:462-581 P0C0F6 462-581 8081627 3M6M D:462-581 P0C0F6 462-581 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8083886 3RQI A:3-138 Q3JXA5 3-138 8083887 3RQI A:3-117 Q3JXA5 3-117 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8092321 4CBV B:1-133 Q79CK7 1-133 8092322 4CBV B:1-133 Q79CK7 1-133 TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632
8045706 5HUQ A:2-424 F9USS9 2-424 8091607 5HUQ A:37-272 F9USS9 37-272 TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630
8045707 2YJG A:2-426 D9TQ02 2-426 8091609 2YJG A:37-272 D9TQ02 37-272 TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630
8045708 4NAR A:4-423 Q9WYS3 4-423 8091611 4NAR A:10-262 Q9WYS3 10-262 TP=1,CL=1000002,CF=2001471,SF=3002525,FA=4004630
8019846 1J2M A:1-99 O18734 22-120 8032226 1J2M A:1-99 O18734 22-120 TP=1,CL=1000000,CF=2000736,SF=3001157,FA=4002373
8045706 5HUQ A:2-424 F9USS9 2-424 8091608 5HUQ A:278-419 F9USS9 278-419 TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630
8045707 2YJG A:2-426 D9TQ02 2-426 8091610 2YJG A:278-420 D9TQ02 278-420 TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630
8045708 4NAR A:4-423 Q9WYS3 4-423 8091612 4NAR A:269-416 Q9WYS3 269-416 TP=1,CL=1000002,CF=2000683,SF=3002526,FA=4004630
8025639 1OZJ A:7-132 P84022 7-132 8038018 1OZJ A:7-132 P84022 7-132 TP=1,CL=1000003,CF=2000735,SF=3001158,FA=4002374
8045713 3MAY B:40-132 O53654 41-133 8091614 3MAY B:40-132 O53654 41-133 TP=1,CL=1000000,CF=2001472,SF=3002527,FA=4004634
8023117 1AFJ A:1-72 P04129 20-91 8035497 1AFJ A:1-72 P04129 20-91 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023119 2AW0 A:1-72 Q04656 375-446 8035499 2AW0 A:1-72 Q04656 375-446 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023120 1CC8 A:2-73 P38636 2-73 8035500 1CC8 A:2-73 P38636 2-73 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023123 1FE0 A:2-67 O00244 2-67 8035503 1FE0 A:2-67 O00244 2-67 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023130 1CPZ A:2-68 Q47840 3-69 8035510 1CPZ A:2-68 Q47840 3-69 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023131 1QUP A:2-73 P40202 2-73 8035511 1QUP A:2-73 P40202 2-73 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8023628 2QIF A:1-69 O32221 1-69 8036008 2QIF A:1-69 O32221 1-69 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8025618 1OSD A:1-72 Q5NUU9 16-87 8037997 1OSD A:1-72 Q5NUU9 16-87 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8025912 1P6T A:2-72 O32220 1-71 8038291 1P6T A:2-72 O32220 1-71 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8025915 1P6T A:73-147 O32220 72-146 8038294 1P6T A:73-142 O32220 72-141 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8029145 1SB6 A:1-64 P73213 1-64 8041524 1SB6 A:1-64 P73213 1-64 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8029486 2GGP B:2-72 P38995 2-72 8041865 2GGP B:2-72 P38995 2-72 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8031484 1MWZ A:2-74 P37617 46-118 8043862 1MWZ A:2-74 P37617 46-118 TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253
8020308 1VR4 A:1-103 Q81H14 1-103 8032688 1VR4 A:1-103 Q81H14 1-103 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633
8031894 1Y2I A:1-107 Q83LS2 1-107 8044272 1Y2I A:1-107 Q83LS2 1-107 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633
8086949 2GTC A:1-103 Q63F05 1-103 8086950 2GTC A:1-103 Q63F05 1-103 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633
8045447 2Y1B A:47-132 P69411 47-132 8090693 2Y1B A:47-132 P69411 47-132 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004474
8046567 2JZ7 E:1-81 Q5UBU1 1-81 8090694 2JZ7 E:1-81 Q5UBU1 1-81 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4005161
8090698 3QKB A:1-91 Q03GF5 1-91 8090699 3QKB A:1-91 Q03GF5 1-91 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633
8090700 5EVF A:32-132 A0Q625 32-132 8090701 5EVF A:53-132 A0Q625 53-132 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4007709
8045864 4HVZ A:37-250 Q44642 37-250 8091413 4HVZ A:37-51,A:161-250 Q44642 37-51,161-250 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004729
8045864 4HVZ A:37-250 Q44642 37-250 8091414 4HVZ A:52-160 Q44642 52-160 TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004729
